gene	transcript_id	xref_id	Fat_body	Midgut	Ovary	Testis	Silk_gland
+nsd-2	NM_001130871.1	100174816	0.04	111.18666666666667	0.5533333333333333	0.3	0.05333333333333334
-w-2	NM_001256993.2	100862765	0.07666666666666667	0.03	1.16	0.4266666666666667	0.043333333333333335
14-3-3zeta	NM_001046699.1	692854	919.3866666666667	1284.506666666667	2791.2066666666665	1683.4333333333334	1589.43
14-3-3zeta	XM_021352007.3	692854	0.0	0.0	0.06999999999999999	8.413333333333334	0.0
14-3-3zeta	XM_021352010.3	692854	0.25333333333333335	0.49333333333333335	1.7100000000000002	1.0233333333333332	0.8566666666666666
14-3-3zeta	XM_062668444.1	692854	48.35999999999999	50.43333333333334	201.14333333333335	71.72333333333333	100.10333333333334
14-3-3zeta	XM_062668445.1	692854	0.013333333333333334	0.02666666666666667	0.0	0.0	0.0
14-3-3zeta	XM_062668446.1	692854	0.94	1.5733333333333335	7.723333333333334	1.36	1.5433333333333337
14-3-3zeta	XM_062668447.1	692854	0.0	0.0	0.0	0.0	0.0
14-3-3zeta	XM_062668448.1	692854	4.916666666666667	7.94	27.363333333333333	20.90666666666667	3.31
14-3-3zeta	XM_062668449.1	692854	0.0	0.0	0.2733333333333333	0.0	0.0
14-3-3zeta	XM_062668450.1	692854	0.0	0.0	0.0	0.0	0.0
14-3-3zeta	XM_062668451.1	692854	0.0	0.0	0.0	0.0	0.0
14-3-3zeta	XM_062668452.1	692854	0.0	0.0	0.0	0.0	0.0
18w	NM_001123349.1	100144599	0.16333333333333333	0.09333333333333334	33.46	4.773333333333333	0.87
3HCD	NM_001256989.1	100862760	120.68333333333334	218.9766666666667	143.1	79.15333333333332	96.16666666666667
5h4	NM_001118902.2	693018	0.0	0.0	0.12333333333333334	0.0	0.0
6pgl	NM_001098369.1	100037442	83.66333333333334	30.27333333333333	57.06666666666666	22.463333333333335	27.353333333333335
6tox	NM_001043539.1	692553	0.7133333333333334	0.24000000000000002	3.4766666666666666	0.7933333333333333	0.06
6tox	XM_038014736.2	692553	3.1966666666666668	1.64	24.123333333333335	6.48	0.3333333333333333
6tox	XR_009974586.1	692553	0.0033333333333333335	0.0	0.22333333333333336	0.04666666666666667	0.006666666666666667
A1	NM_001126252.1	100145913	342.75	523.62	119.38666666666667	93.22666666666667	0.5466666666666667
A2	NM_001126253.1	100145914	1.3666666666666665	0.09666666666666668	7.010000000000001	0.7100000000000001	3.8966666666666665
A3	NM_001126254.1	100145915	213.89666666666668	1104.3333333333335	316.54333333333335	180.72000000000003	436.22333333333336
A3	XM_038016618.2	100145915	52.28666666666667	290.7266666666667	36.62	15.873333333333335	110.75666666666666
A4	NM_001126255.1	100145916	366.56666666666666	135.77333333333334	1975.4066666666668	1034.3933333333334	286.45
A4	XM_038016619.2	100145916	388.7233333333333	23.903333333333336	429.10666666666674	117.75333333333333	800.9566666666666
A4	XM_038016620.2	100145916	5.82	2.466666666666667	19.64	5.0633333333333335	8.466666666666667
A4	XM_062673184.1	100145916	0.0	0.0	0.0	0.0	0.0
A4	XM_062673185.1	100145916	1.1366666666666667	0.0	4.33	354.44	0.8300000000000001
ACBP	NM_001043557.1	692574	1019.9866666666667	452.0133333333333	240.04	57.59	216.11
ACBP-like	NM_001043558.1	692575	5.989999999999999	18163.293333333335	1.9266666666666665	7.866666666666667	1.3166666666666667
ACBP-like	XM_062670313.1	692575	0.16666666666666666	462.76	0.09666666666666666	0.16666666666666666	0.11333333333333334
AGPAT2	NM_001279459.1	101741440	49.62	2.5933333333333333	16.903333333333332	9.046666666666667	1.3233333333333333
AGPAT2	XM_062672295.1	101741440	6.483333333333333	0.17333333333333334	0.0	11.743333333333334	1.4000000000000001
AGPAT3	NM_001279376.1	101741580	0.060000000000000005	0.09999999999999999	3.76	0.6733333333333333	0.06999999999999999
AGPAT3	XM_012692280.4	101741580	0.24	0.29	4.596666666666667	1.1733333333333333	1.8199999999999996
AGPAT5	NM_001281895.1	101741213	0.04	0.13666666666666666	0.25	0.09333333333333334	0.02
AK	NM_001043937.2	692924	47.86666666666667	1476.4633333333334	325.33	607.5933333333334	12550.433333333334
AK	XM_012688417.2	692924	0.0	33.74333333333333	0.0	0.0	0.0
AK	XM_012688418.3	692924	0.20333333333333337	31.206666666666667	3.576666666666666	6.086666666666666	47.02
AK	XM_012688420.2	692924	0.0	42.583333333333336	1.82	2.283333333333333	38.586666666666666
AK	XM_062668455.1	692924	0.14333333333333334	0.84	7.326666666666667	68.77	3.3433333333333337
